gamma_true,gamma_hat
1.0,0.999747097492218
1.0,0.9980528354644775
1.0,0.9989252686500549
1.0,0.9470444321632385
1.0,0.9999769926071167
1.0,0.9999792575836182
1.0,0.9999804496765137
1.0,0.9999750852584839
1.0,0.9999632835388184
1.0,0.9999717473983765
1.0,0.9999744892120361
1.0,0.9999805688858032
1.0,0.9999821186065674
1.0,0.9999874830245972
1.0,0.9999899864196777
1.0,0.9999877214431763
1.0,0.9999855756759644
1.0,0.9999685287475586
1.0,0.9998854398727417
1.0,0.9995473027229309
1.0,0.9974844455718994
1.0,0.9756524562835693
1.0,0.9602749943733215
1.0,0.9999822378158569
1.0,0.9999860525131226
1.0,0.9999879598617554
1.0,0.9999860525131226
0.800000011920929,0.8038824200630188
0.800000011920929,0.803083062171936
0.800000011920929,0.7993118166923523
0.800000011920929,0.7936318516731262
0.800000011920929,0.7895268797874451
0.800000011920929,0.7991851568222046
0.800000011920929,0.7959296107292175
0.800000011920929,0.7949058413505554
0.800000011920929,0.7980800271034241
0.800000011920929,0.7950699329376221
0.800000011920929,0.7917497754096985
0.800000011920929,0.7841180562973022
0.800000011920929,0.7774194478988647
0.800000011920929,0.7976126074790955
0.800000011920929,0.7789654731750488
1.0,0.9999769926071167
1.0,0.9999794960021973
1.0,0.9999804496765137
0.800000011920929,0.8158981800079346
0.800000011920929,0.8099011778831482
0.800000011920929,0.8088077902793884
0.800000011920929,0.8059212565422058
0.800000011920929,0.8064733743667603
0.800000011920929,0.8106616139411926
0.800000011920929,0.8049262166023254
0.800000011920929,0.7963303923606873
0.800000011920929,0.7924185991287231
0.800000011920929,0.7935193181037903
0.800000011920929,0.7931019067764282
0.800000011920929,0.784611165523529
0.800000011920929,0.777265727519989
0.800000011920929,0.7715984582901001
0.800000011920929,0.7637069225311279
0.800000011920929,0.7665380835533142
1.0,0.99997878074646
1.0,0.9999829530715942
1.0,0.9999830722808838
1.0,0.9999794960021973
0.800000011920929,0.8061044216156006
0.800000011920929,0.8063724040985107
0.800000011920929,0.8040071129798889
0.800000011920929,0.7995035648345947
0.800000011920929,0.8079215884208679
0.800000011920929,0.8036332130432129
0.800000011920929,0.7964954376220703
0.800000011920929,0.7939006090164185
0.800000011920929,0.7957980036735535
0.800000011920929,0.7952420115470886
0.800000011920929,0.7885999083518982
0.800000011920929,0.7813575863838196
0.800000011920929,0.775965690612793
0.800000011920929,0.769936740398407
0.800000011920929,0.7788223028182983
1.0,0.9999809265136719
1.0,0.9999885559082031
1.0,0.9999903440475464
1.0,0.9999911785125732
0.800000011920929,0.8205851912498474
0.800000011920929,0.7979942560195923
0.800000011920929,0.7928857207298279
0.800000011920929,0.7868160605430603
0.800000011920929,0.7822631001472473
0.800000011920929,0.7903620004653931
0.800000011920929,0.7964282035827637
0.800000011920929,0.7995821237564087
0.800000011920929,0.8018284440040588
0.800000011920929,0.8008889555931091
0.800000011920929,0.7964505553245544
0.800000011920929,0.7910491824150085
0.800000011920929,0.78501957654953
0.800000011920929,0.794773280620575
0.800000011920929,0.7793731689453125
1.0,0.999954104423523
1.0,0.9999755620956421
1.0,0.9999786615371704
1.0,0.9999825954437256
0.800000011920929,0.7536683082580566
0.800000011920929,0.7795813679695129
0.800000011920929,0.7821553945541382
0.800000011920929,0.7771131992340088
0.800000011920929,0.7763240337371826
0.800000011920929,0.7761129140853882
0.800000011920929,0.7964047789573669
0.800000011920929,0.8037925362586975
0.800000011920929,0.8088511824607849
0.800000011920929,0.8089883327484131
0.800000011920929,0.8072500228881836
0.800000011920929,0.8035880327224731
0.800000011920929,0.8199337720870972
0.800000011920929,0.8117256760597229
0.800000011920929,0.7968392372131348
1.0,0.9999796152114868
1.0,0.999983549118042
1.0,0.9999840259552002
1.0,0.9999808073043823
0.800000011920929,0.8126272559165955
0.800000011920929,0.8063746094703674
0.800000011920929,0.8025976419448853
0.800000011920929,0.7977968454360962
0.800000011920929,0.7999329566955566
0.800000011920929,0.8022556900978088
0.800000011920929,0.796105146408081
0.800000011920929,0.793114423751831
0.800000011920929,0.7949091792106628
0.800000011920929,0.7931828498840332
0.800000011920929,0.7875478267669678
0.800000011920929,0.7804093956947327
0.800000011920929,0.7742272019386292
0.800000011920929,0.7659485340118408
0.800000011920929,0.7778149247169495
1.0,0.9999814033508301
1.0,0.9999852180480957
1.0,0.9999871253967285
1.0,0.999984622001648
0.800000011920929,0.7965226769447327
0.800000011920929,0.8040050864219666
0.800000011920929,0.8006382584571838
0.800000011920929,0.7952958345413208
0.800000011920929,0.7923986911773682
0.800000011920929,0.8004121780395508
0.800000011920929,0.7965274453163147
0.800000011920929,0.7950217127799988
0.800000011920929,0.7982816696166992
0.800000011920929,0.7954736948013306
0.800000011920929,0.791832685470581
0.800000011920929,0.7849578261375427
0.800000011920929,0.7776970863342285
0.800000011920929,0.7910521626472473
0.800000011920929,0.7804025411605835
1.0,0.9999606609344482
1.0,0.9999786615371704
1.0,0.9999817609786987
0.800000011920929,0.7780529856681824
0.800000011920929,0.7918863892555237
0.800000011920929,0.7902240753173828
0.800000011920929,0.7863904237747192
0.800000011920929,0.7798070907592773
0.800000011920929,0.778100848197937
0.800000011920929,0.7829957604408264
0.800000011920929,0.8001468777656555
0.800000011920929,0.8041350245475769
0.800000011920929,0.8087843656539917
0.800000011920929,0.8084185719490051
0.800000011920929,0.8063967227935791
0.800000011920929,0.8023620843887329
0.800000011920929,0.8040527701377869
0.800000011920929,0.8104842901229858
0.800000011920929,0.7942887544631958
1.0,0.9999829530715942
1.0,0.9999879598617554
1.0,0.9999895095825195
0.800000011920929,0.8067924976348877
0.800000011920929,0.8019670248031616
0.800000011920929,0.8019945025444031
0.800000011920929,0.7982587814331055
0.800000011920929,0.7923197746276855
0.800000011920929,0.7883473038673401
0.800000011920929,0.7982425689697266
0.800000011920929,0.7956693172454834
0.800000011920929,0.7962450981140137
0.800000011920929,0.798462450504303
0.800000011920929,0.796549916267395
0.800000011920929,0.7932339310646057
0.800000011920929,0.7850350141525269
0.800000011920929,0.7794733643531799
0.800000011920929,0.8056145906448364
0.800000011920929,0.7776339650154114
1.0,0.9999817609786987
1.0,0.9999889135360718
1.0,0.9999905824661255
1.0,0.9999915361404419
0.800000011920929,0.798153281211853
0.800000011920929,0.7973528504371643
0.800000011920929,0.7933316826820374
0.800000011920929,0.7870965600013733
0.800000011920929,0.7822636365890503
0.800000011920929,0.792059063911438
0.800000011920929,0.7958253622055054
0.800000011920929,0.7981734871864319
0.800000011920929,0.7993651032447815
