step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,mmae_gamma_hat,mmae_best_gamma,residual_enabled,rl_residual,interlock_tripped
44,0.358333,HYBRID,15096.793469052762,489.45229796882495,0.2430545522277667,1.9446041508939247,9.332905992439017,-0.26514517539269655,-0.015693255388964173,-0.015701397580147346,-0.015701397580147346,0.15,0.09166666666666674,0.9994814352581284,1.0,1.0005188337907824,0.0,0.0,0.0,1.0,1.0,0.9994814352581284,1.0,0,0.0,0
45,0.366667,HYBRID,15096.871368739754,489.4780287061758,0.2408098211715287,1.9646788713565115,9.34336456615923,-0.240972601947784,-0.015251807534643967,-0.015259720687763451,-0.015259720687763451,0.15,0.09375000000000008,0.9994814352581284,1.0,1.0005188337907824,0.0,0.0,0.0,1.0,1.0,0.9994814352581284,1.0,0,0.0,0
46,0.375,HYBRID,15096.949383713305,489.4999737229234,0.2388847014598017,1.9441218948634642,9.38563392652279,-0.21975230465966689,-0.0148948190435539,-0.014902546978981286,-0.014902546978981286,0.15,0.09583333333333342,0.9994814352581284,1.0,1.0005188337907824,0.0,0.0,0.0,1.0,1.0,0.9994814352581284,1.0,0,0.0,0
47,0.383333,HYBRID,15097.02788322419,489.52950022920004,0.23721339979535108,1.8820430830023878,9.365993388277023,-0.19813232051741622,-0.01447912528431757,-0.014486637543776047,-0.014486637543776047,0.15,0.09791666666666676,0.9994814352581284,1.0,1.0005188337907824,0.0,0.0,0.0,1.0,1.0,0.9994814352581284,1.0,0,0.0,0
48,0.391667,HYBRID,15097.105635687709,489.56286871649263,0.23561447080692088,1.8628993918427468,9.314367891101726,-0.17784436567823245,-0.014932259840588005,-0.014940007201566045,-0.014940007201566045,0.15,0.1000000000000001,0.9994814352581284,1.0,1.0005188337907824,0.0,0.0,0.0,1.0,1.0,0.9994814352581284,1.0,0,0.0,0
49,0.4,HYBRID,15097.18292857334,489.6000082301851,0.2340727573277545,1.8848721134607485,9.231238456119769,-0.15461455976268024,-0.015272546745105064,-0.015280470658427699,-0.015280470658427699,0.15,0.10208333333333344,0.9994814352581303,1.0,1.0005188337907804,0.0,0.0,0.0,1.0,1.0,0.9994814352581303,1.0,0,0.0,0
50,0.408333,HYBRID,15097.259399119765,489.62955600070444,0.2326423314987158,1.9486284682276636,9.210316398674543,-0.131394031977351,-0.0156387472852937,-0.01564686119583079,-0.01564686119583079,0.15,0.10416666666666678,0.99948143525813,1.0,1.0005188337907807,0.0,0.0,0.0,1.0,1.0,0.99948143525813,1.0,0,0.0,0
51,0.416667,HYBRID,15097.336279898882,489.6552569991469,0.23150927241503874,1.9696670392449203,9.221436738321325,-0.1081378946659077,-0.015116873592438448,-0.015124716737269166,-0.015124716737269166,0.15,0.10625000000000012,0.99948143525813,1.0,1.0005188337907807,0.0,0.0,0.0,1.0,1.0,0.99948143525813,1.0,0,0.0,0
52,0.425,HYBRID,15097.413282118738,489.677185652843,0.23068893112529235,1.9500411074860662,9.26454056868133,-0.08844821365640437,-0.014684140596709843,-0.01469175922503999,-0.01469175922503999,0.15,0.10833333333333346,0.99948143525813,1.0,1.0005188337907807,0.0,0.0,0.0,1.0,1.0,0.99948143525813,1.0,0,0.0,0
53,0.433333,HYBRID,15097.490776598454,489.70670070888485,0.2301100788782324,1.8888419344299676,9.245924151204989,-0.06893707021205629,-0.014197023990087657,-0.01420438988586162,-0.01420438988586162,0.15,0.1104166666666668,0.9994814352581737,1.0,1.0005188337907371,0.0,0.0,0.0,1.0,1.0,0.9994814352581737,1.0,0,0.0,0
