step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,rl_residual,interlock_tripped
25,0.2,FULL_STACK,15095.298167202622,488.8811075615905,0.3988425589759003,1.8773568131180005,9.943579408828857,0.0053375608753565215,-0.00160344150444916,-0.015355665428251536,-0.015355665428251536,0.15,0.05208333333333333,1.0,1.0,1.0,-0.013752223923802376,0.0,0.0,1.0,1.0,0.0,False
26,0.208333,FULL_STACK,15095.380678523332,488.9114758904081,0.39874801325667475,1.939619474203039,9.94794381024495,0.0003291772771590145,-0.0020275757130206237,-0.015833400044959846,-0.015833400044959846,0.15,0.05416666666666666,1.0,1.0,1.0,-0.01380582433193922,0.0,0.0,1.0,1.0,0.0,False
27,0.216667,FULL_STACK,15095.463811442256,488.93797046257,0.398715168907336,1.9593747705918718,9.98421008376795,-0.0037710568359005043,-0.0015761126445922034,-0.0153747909384164,-0.0153747909384164,0.15,0.056249999999999994,1.0,1.0,1.0,-0.013798678293824196,0.0,0.0,1.0,1.0,0.0,False
28,0.225,FULL_STACK,15095.547274399549,488.9606705941053,0.39876595503947726,1.938648609900483,10.052232879991827,-0.01077251405198275,-0.0012265642880847593,-0.014986896306221737,-0.014986896306221737,0.15,0.05833333333333333,1.0,1.0,1.0,-0.013760332018136978,0.0,0.0,1.0,1.0,0.0,False
29,0.233333,FULL_STACK,15095.631436023861,488.9909647171443,0.39883536053322316,1.876568761529057,10.058042247578689,-0.017282655035363144,-0.0008341685804640569,-0.014525105890921286,-0.014525105890921286,0.15,0.06041666666666666,1.0,1.0,1.0,-0.01369093731045723,0.0,0.0,1.0,1.0,0.0,False
30,0.241667,FULL_STACK,15095.715060554445,489.0251064813495,0.398743131128891,1.8572706634885867,10.031602812849759,-0.025062351296404994,-0.0013286128961781303,-0.01501093826678789,-0.01501093826678789,0.15,0.06249999999999999,1.0,1.0,1.0,-0.01368232537060976,0.0,0.0,1.0,1.0,0.0,False
31,0.25,FULL_STACK,15095.798434425145,489.063015932432,0.3984746150072271,1.8789330922715914,9.97337760014723,-0.029400507588771684,-0.001725508504187107,-0.015430761173938752,-0.015430761173938752,0.15,0.06458333333333333,1.0,1.0,1.0,-0.013705252669751644,0.0,0.0,1.0,1.0,0.0,False
32,0.258333,FULL_STACK,15095.88119225949,489.09330467532436,0.39808791141456856,1.9422174762104547,9.977255473564071,-0.03304094146582784,-0.0021635981931434375,-0.01592285360238416,-0.01592285360238416,0.15,0.06666666666666667,1.0,1.0,1.0,-0.013759255409240723,0.0,0.0,1.0,1.0,0.0,False
33,0.266667,FULL_STACK,15095.964567173272,489.1197203200054,0.39777448609979316,1.962944586238368,10.012962573033475,-0.03567175665664016,-0.0017242682027985398,-0.015476851617114717,-0.015476851617114717,0.15,0.06875,1.0,1.0,1.0,-0.013752583414316177,0.0,0.0,1.0,1.0,0.0,False
34,0.275,FULL_STACK,15096.04826714471,489.14234232583453,0.39755763931013144,1.9431614462004934,10.080380167456068,-0.041115526354347294,-0.0013855121360423724,-0.015100292235732332,-0.015100292235732332,0.15,0.07083333333333335,1.0,1.0,1.0,-0.01371478009968996,0.0,0.0,1.0,1.0,0.0,False
35,0.283333,FULL_STACK,15096.132660649717,489.1725512181432,0.39737275492541696,1.881973578411137,10.085589024449881,-0.04598771116728019,-0.0010018396432967315,-0.014647812699851525,-0.014647812699851525,0.15,0.07291666666666669,1.0,1.0,1.0,-0.013645973056554794,0.0,0.0,1.0,1.0,0.0,False
36,0.291667,FULL_STACK,15096.21651224792,489.2066035553566,0.3970411845636306,1.8629384738883592,10.05856496966203,-0.05205017128103704,-0.0015032595297725664,-0.0151412036544116,-0.0151412036544116,0.15,0.07500000000000002,1.0,1.0,1.0,-0.013637944124639034,0.0,0.0,1.0,1.0,0.0,False
37,0.3,FULL_STACK,15096.30010843277,489.2444194937714,0.3965477036882354,1.8849069183122604,9.999759191855642,-0.05461117554948361,-0.0019048657690691718,-0.015566305299620605,-0.015566305299620605,0.15,0.07708333333333336,1.0,1.0,1.0,-0.013661439530551434,0.0,0.0,1.0,1.0,0.0,False
38,0.308333,FULL_STACK,15096.383083704859,489.2746189597621,0.3959505225692019,1.9485107407542837,10.002971650791938,-0.05642873650935677,-0.0023469929157707726,-0.016063000498614075,-0.016063000498614075,0.15,0.0791666666666667,1.0,1.0,1.0,-0.013716007582843304,0.0,0.0,1.0,1.0,0.0,False
39,0.316667,FULL_STACK,15096.466669853777,489.3009470266004,0.39544208822210003,1.9695167675013927,10.037974949193206,-0.05719701176919808,-0.0019113723758955824,-0.015621353370358549,-0.015621353370358549,0.15,0.08125000000000004,1.0,1.0,1.0,-0.013709980994462967,0.0,0.0,1.0,1.0,0.0,False
40,0.325,FULL_STACK,15096.550575196743,489.32348330298714,0.395046105710961,1.9499739222351766,10.10465438111528,-0.06074521070415366,-0.0015742361421624427,-0.015247098344091535,-0.015247098344091535,0.15,0.08333333333333338,1.0,1.0,1.0,-0.013672862201929092,0.0,0.0,1.0,1.0,0.0,False
41,0.333333,FULL_STACK,15096.63516779244,489.35360051166435,0.39469809760245395,1.8889873692857087,10.109143712915863,-0.0637038437997397,-0.001190776033118204,-0.014795549241617158,-0.014795549241617158,0.15,0.08541666666666672,1.0,1.0,1.0,-0.013604773208498955,0.0,0.0,1.0,1.0,0.0,False
42,0.341667,FULL_STACK,15096.71921274811,489.38755805874456,0.3942210727762433,1.8692000205543513,10.081452912932747,-0.06784357263986188,-0.0016907179107257435,-0.015288161610562474,-0.015288161610562474,0.15,0.08750000000000006,1.0,1.0,1.0,-0.013597443699836731,0.0,0.0,1.0,1.0,0.0,False
43,0.35,FULL_STACK,15096.802997063845,489.4252762000187,0.3935978251176753,1.8904704408562711,10.021995013050283,-0.06849445049170837,-0.0020882701161825364,-0.015709857422443598,-0.015709857422443598,0.15,0.0895833333333334,1.0,1.0,1.0,-0.013621587306261063,0.0,0.0,1.0,1.0,0.0,False
44,0.358333,FULL_STACK,15096.886154968292,489.4553832188825,0.39288632965009795,1.953408133864976,10.024487973259582,-0.06842564723898915,-0.0025267782207654133,-0.01620356594734651,-0.01620356594734651,0.15,0.09166666666666674,1.0,1.0,1.0,-0.013676787726581097,0.0,0.0,1.0,1.0,0.0,False
45,0.366667,FULL_STACK,15096.96991718933,489.4816215413925,0.3922794420467916,1.9737315076445197,10.058758484496995,-0.06731819706986414,-0.002087413339319476,-0.01575887390077377,-0.01575887390077377,0.15,0.09375000000000008,1.0,1.0,1.0,-0.013671460561454296,0.0,0.0,1.0,1.0,0.0,False
46,0.375,FULL_STACK,15097.053992632776,489.5040709362742,0.3918004651804067,1.9534777050383543,10.124681525055324,-0.0690068815503653,-0.0017447678549113346,-0.015379821154278762,-0.015379821154278762,0.15,0.09583333333333342,1.0,1.0,1.0,-0.013635053299367428,0.0,0.0,1.0,1.0,0.0,False
