step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,rl_residual,interlock_tripped
23,0.183333,HYBRID,15095.114065978676,488.8160264799812,0.3092850928865096,1.8771543391341328,9.767607677314878,-0.6689256104993713,-0.01202503395233788,-0.01202503395233788,-0.01202503395233788,0.15,0.04791666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
24,0.191667,HYBRID,15095.195181794465,488.8499214710312,0.303768709357448,1.8568500511852695,9.72004251893118,-0.6660895252562752,-0.01290123005650181,-0.01290123005650181,-0.01290123005650181,0.15,0.049999999999999996,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
25,0.2,HYBRID,15095.275869198143,488.8875469404358,0.29816465858658414,1.8775709429426517,9.640013688729983,-0.6571882746147848,-0.013649383355007733,-0.013649383355007733,-0.013649383355007733,0.15,0.05208333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
26,0.208333,HYBRID,15095.355755802244,488.9175096462066,0.29255198331320975,1.9399188992637506,9.62150364648791,-0.6452800872408546,-0.014416041344023304,-0.014416041344023304,-0.014416041344023304,0.15,0.05416666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
27,0.216667,HYBRID,15095.436070796102,488.9435648391657,0.28714203476402533,1.9597120620539616,9.634280839553671,-0.630360821904581,-0.014280464814220666,-0.014280464814220666,-0.014280464814220666,0.15,0.056249999999999994,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
28,0.225,HYBRID,15095.516517661512,488.96578800045836,0.28197427524383084,1.9389742407934971,9.678272986264052,-0.6161206411888029,-0.014220913132359403,-0.014220913132359403,-0.014220913132359403,0.15,0.05833333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
29,0.233333,HYBRID,15095.597460944206,488.99557057423146,0.277002092495324,1.8768228320279092,9.659559349865958,-0.5992519730976718,-0.014092629824193126,-0.014092629824193126,-0.014092629824193126,0.15,0.06041666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
30,0.241667,HYBRID,15095.677660893649,489.0291663201579,0.2720628281665764,1.8575081502738464,9.6081636995278,-0.5815560829420185,-0.014823810737136208,-0.014823810737136208,-0.014823810737136208,0.15,0.06249999999999999,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
31,0.25,HYBRID,15095.757400617003,489.06650522522904,0.2671592878772847,1.8792110895981389,9.524578080215322,-0.5588350484646893,-0.015429244849382656,-0.015429244849382656,-0.015429244849382656,0.15,0.06458333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
32,0.258333,HYBRID,15095.836311377585,489.09620192927287,0.26236285560293504,1.9426042362976734,9.502748877921224,-0.534137267646746,-0.016047818034667483,-0.016047818034667483,-0.016047818034667483,0.15,0.06666666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
33,0.266667,HYBRID,15095.915623743087,489.1220103264956,0.25787589835823593,1.9633811987558274,9.512447967594348,-0.5075120620139651,-0.015762814076531958,-0.015762814076531958,-0.015762814076531958,0.15,0.06875,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
34,0.275,HYBRID,15095.995043352246,489.1440061852773,0.25372940555629697,1.943587842214229,9.553635331857098,-0.48266094963487427,-0.015553684756375722,-0.015553684756375722,-0.015553684756375722,0.15,0.07083333333333335,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
35,0.283333,HYBRID,15096.074937250465,489.17357349392563,0.24986728190966773,1.882317340189691,9.532439739976205,-0.4562892870120386,-0.015275701027618688,-0.015275701027618688,-0.015275701027618688,0.15,0.07291666666666669,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
36,0.291667,HYBRID,15096.154068641365,489.2069686906583,0.24611841864497985,1.8632985100895918,9.478896469385361,-0.43018590130840867,-0.015858154396401793,-0.015858154396401793,-0.015858154396401793,0.15,0.07500000000000002,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
37,0.3,HYBRID,15096.232723351568,489.2441218951902,0.24247531604833952,1.8853477983885325,9.393486311760054,-0.4001555013037354,-0.0163160803355924,-0.0163160803355924,-0.0163160803355924,0.15,0.07708333333333336,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
38,0.308333,HYBRID,15096.31053519994,489.27365563407596,0.2389998438691953,1.949110240526619,9.370070523032163,-0.36922991711879977,-0.016790400537480946,-0.016790400537480946,-0.016790400537480946,0.15,0.0791666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
39,0.316667,HYBRID,15096.388736136258,489.29932124582075,0.2358860440735513,1.9702085208321778,9.378461714450243,-0.3374413242796574,-0.016365254051306788,-0.016365254051306788,-0.016365254051306788,0.15,0.08125000000000004,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
40,0.325,HYBRID,15096.467034701258,489.32119427378194,0.23315615205822116,1.9506919304850245,9.418620023340793,-0.3084666837690012,-0.016018824427897035,-0.016018824427897035,-0.016018824427897035,0.15,0.08333333333333338,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
41,0.333333,HYBRID,15096.545800153166,489.35065073118096,0.23074525295239728,1.8896517947199056,9.396710911341307,-0.2789974421051137,-0.015607537584968606,-0.015607537584968606,-0.015607537584968606,0.15,0.08541666666666672,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
42,0.341667,HYBRID,15096.623798597604,489.3839492805687,0.22847539801820527,1.8697750861483895,9.342807349799687,-0.2507914416079152,-0.01606096661012955,-0.01606096661012955,-0.01606096661012955,0.15,0.08750000000000006,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
43,0.35,HYBRID,15096.701318949461,489.4210196088965,0.22632843983838577,1.891026945016804,9.257337220564246,-0.21963475769794208,-0.01639332472417489,-0.01639332472417489,-0.01639332472417489,0.15,0.0895833333333334,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
44,0.358333,HYBRID,15096.777997013181,489.4504918296768,0.2243579545644621,1.9540271327266758,9.234074717087266,-0.18852339167761373,-0.016749335559973117,-0.016749335559973117,-0.016749335559973117,0.15,0.09166666666666674,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
45,0.366667,HYBRID,15096.855066031218,489.47611405062855,0.22275084571699338,1.9743475997913045,9.242875823610998,-0.157427851153011,-0.016212602700303017,-0.016212602700303017,-0.016212602700303017,0.15,0.09375000000000008,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
46,0.375,HYBRID,15096.932237319648,489.4979612738513,0.2215216869027332,1.954025207850477,9.283677097513852,-0.12998163886850475,-0.015759848705843293,-0.015759848705843293,-0.015759848705843293,0.15,0.09583333333333342,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
47,0.383333,HYBRID,15097.009881734848,489.5274011236456,0.22059866641595222,1.8921666503316332,9.262764722122466,-0.10284286778948379,-0.015248844009884336,-0.015248844009884336,-0.015248844009884336,0.15,0.09791666666666676,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
48,0.391667,HYBRID,15097.086769342422,489.5606940082758,0.2197934240041995,1.8732426356983771,9.210051306270413,-0.07773813667636141,-0.015607786211343733,-0.015607786211343733,-0.015607786211343733,0.15,0.1000000000000001,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
49,0.4,HYBRID,15097.163189031184,489.597769092101,0.21908489641395593,1.895435221336111,9.126018632596503,-0.0503900113257867,-0.01585617984148759,-0.01585617984148759,-0.01585617984148759,0.15,0.10208333333333344,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
50,0.408333,HYBRID,15097.238779623061,489.6272633245632,0.21852148657690684,1.959411430335269,9.104371662025159,-0.02373139988650961,-0.016132472685355843,-0.016132472685355843,-0.016132472685355843,0.15,0.10416666666666678,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
51,0.416667,HYBRID,15097.314775127918,489.6529217564433,0.21828468627341804,1.980659285288329,9.11495899331338,0.0022920926952102474,-0.015522956302697587,-0.015522956302697587,-0.015522956302697587,0.15,0.10625000000000012,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
52,0.425,HYBRID,15097.390888482332,489.67481860495514,0.21838437216340126,1.961233451115616,9.157722884145802,0.024096274056857648,-0.015004314271017652,-0.015004314271017652,-0.015004314271017652,0.15,0.10833333333333346,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
53,0.433333,HYBRID,15097.467492066324,489.7043126579202,0.21874366022603284,1.9002240042075953,9.138934812986252,0.04507919147983998,-0.014434001095345615,-0.014434001095345615,-0.014434001095345615,0.15,0.1104166666666668,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
